Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score
I300_S900_C500,11,7,43,18612,1750,647090
I300_S900_C500,11,6,57,19819,1705,647085
I300_S900_C500,11,1,51,19082,1665,647102
I300_S900_C500,11,4,57,19765,1570,647090
I300_S900_C500,11,9,42,19239,1609,647096
I3333_S13332_C428,11,9,45,12725,1714,103154
I3333_S13332_C428,11,8,47,12528,959,103128
I3333_S13332_C428,11,4,30,12986,1296,103154
I3333_S13332_C428,11,5,53,12455,1705,103143
I3333_S13332_C428,11,6,45,15309,1107,103144
I3333_S13332_C428,11,7,30,13387,1060,103150
I3333_S13332_C428,11,1,41,12679,1412,103139
I3333_S13332_C428,11,2,50,12855,1694,103145
I3333_S13332_C428,11,3,40,19124,1378,103157
I3333_S13332_C428,11,10,32,12726,1768,103152
I4000_S12000_C161,11,10,35,12376,136,856858
I4000_S12000_C161,11,7,32,11552,51,856858
I4000_S12000_C161,11,1,30,11666,196,856858
I4000_S12000_C161,11,8,40,11568,198,856858
I4000_S12000_C161,11,9,27,12091,83,856858
I4000_S12000_C161,11,3,33,14261,139,856858
I4000_S12000_C161,11,6,39,11704,178,856858
I4000_S12000_C161,11,2,35,12999,166,856858
I4000_S12000_C161,11,4,34,12196,146,856858
I4000_S12000_C161,11,5,31,12508,285,856858
I4000_S12000_C387,11,5,2,486,1811,2608752
I4000_S12000_C387,11,8,2,565,1803,2608760
I4000_S12000_C387,11,10,2,505,1803,2608774
I4000_S12000_C387,11,4,2,471,1806,2608742
I4000_S12000_C387,11,7,3,453,1803,2608747
I4000_S12000_C387,11,6,1,451,1808,2608746
I4000_S12000_C387,11,3,1,483,1814,2608744
I4000_S12000_C387,11,9,5,470,1806,2608719
I4000_S12000_C387,11,2,1,449,1811,2608765
I4000_S12000_C387,11,1,4,469,1725,2608752
I4000_S12000_C397,11,4,2,134,1874,374998
I4000_S12000_C397,11,10,1,102,1885,375020
I4000_S12000_C397,11,9,1,93,1809,374959
I4000_S12000_C397,11,7,1,98,1815,375007
I4000_S12000_C397,11,2,1,98,1879,374978
I4000_S12000_C397,11,3,1,93,1870,374995
I4000_S12000_C397,11,1,1,119,1807,374994
I4000_S12000_C397,11,5,2,115,1698,374963
I4000_S12000_C397,11,6,1,137,1876,374996
I4000_S12000_C397,11,8,2,129,1503,374949
I4000_S20000_C309,11,10,2,577,1803,2057527
I4000_S20000_C309,11,7,3,600,1809,2057522
I4000_S20000_C309,11,1,1,575,1803,2057545
I4000_S20000_C309,11,2,5,554,1645,2057512
I4000_S20000_C309,11,3,2,587,1803,2057550
I4000_S20000_C309,11,4,2,544,1803,2057539
I4000_S20000_C309,11,5,4,608,1778,2057556
I4000_S20000_C309,11,8,3,653,1614,2057535
I4000_S20000_C309,11,9,2,580,1581,2057531
I4000_S20000_C309,11,6,6,633,1802,2057519
